#NN	NWords	Freq,hz	lphs,ms	rphs,ms
114	30	1	0	0
115	11	1	0	0
116	31	1	0	0
117	32	1	0	0
118	21	1	0	0
119	20	1	0	0
120	24	1	0	0
121	32	1	0	0
122	19	1	0	0
123	32	1	0	0
124	16	1	0	0
125	20	1	0	0
126	14	1	0	0
127	18	1	0	0
128	13	1	0	0
129	31	1	0	0
130	18	1	0	0
131	21	1	0	0
132	9	1	0	0
133	16	1	0	0
134	12	1	0	0
135	25	1	0	0
136	24	1	0	0
137	20	1	0	0
138	23	1	0	0
139	27	1	0	0
140	32	1	0	0
141	32	1	0	0
142	26	1	0	0
143	17	1	0	0
144	32	1	0	0
145	18	1	0	0
146	11	1	0	0
147	11	1	0	0
148	2	1	0	0
149	20	1	0	0
150	32	1	0	0
151	24	1	0	0
152	32	1	0	0
153	16	1	0	0
154	11	1	0	0
155	12	1	0	0
156	31	1	0	0
157	19	1	0	0
158	28	1	0	0
159	11	1	0	0
160	32	1	0	0
161	14	1	0	0
162	22	1	0	0
163	32	1	0	0
164	32	1	0	0
165	31	1	0	0
166	32	1	0	0
167	3	1	0	0
168	21	1	0	0
169	3	1	0	0
170	32	1	0	0
171	32	1	0	0
172	1	1	0	0
173	32	1	130	150
174	32	1	130	150
175	28	1	130	150
176	30	1	130	150
177	26	1	130	150
178	31	1	130	150
179	26	1	130	150
180	25	1	130	150
181	25	1	230	250
182	31	1	230	250
183	32	1	230	250
184	31	1	230	250
185	32	1	230	250
186	32	1	230	250
187	24	1	230	250
188	32	1	330	350
189	32	1	330	350
190	32	1	330	350
191	32	1	330	350
192	32	1	330	350
193	25	1	330	350
194	27	1	330	350
195	28	1	430	450
196	24	1	430	450
197	32	1	430	450
198	32	1	430	450
199	25	1	430	450
200	30	1	430	450
201	28	1	430	450
202	32	1	430	450
203	31	1	430	450
204	30	1	430	450
205	32	1	430	450
206	32	1	730	750
207	29	1	730	750
208	31	1	730	750
209	23	1	730	750
210	32	1	730	750
211	24	1	730	750
212	23	1	730	750
213	23	1	730	750
214	32	1	730	750
215	31	1	730	750
216	32	1	730	750
217	23	1	730	750
218	24	1	730	750
219	23	1	730	750
220	23	1	830	850
221	24	1	830	850
222	25	1	830	850
223	29	1	830	850
224	26	1	830	850
225	23	1	830	850
226	23	1	830	850
227	26	1	830	850
228	24	1	830	850
229	3	2	0	0
230	3	2	0	0
231	2	2	0	0
232	1	2	0	0
233	2	2	0	0
234	1	2	0	0
235	2	2	0	0
236	4	2	0	0
237	32	5	0	0
238	31	5	0	0
239	28	5	0	0
240	28	5	0	0
241	27	5	0	0
242	30	5	0	0
243	26	5	0	0
244	32	5	0	0
245	30	5	0	0
246	31	5	0	0
247	30	5	0	0
248	32	5	0	0
249	28	5	0	0
250	32	5	0	0
251	32	5	0	0
252	28	5	0	0
253	32	5	0	0
254	31	5	0	0
255	32	5	0	0
256	26	5	0	0
257	27	5	0	0
258	32	5	0	0
259	28	5	0	0
260	27	5	0	0
261	32	5	0	0
262	32	5	0	0
263	32	5	0	0
264	32	5	0	0
265	29	5	0	0
266	32	5	0	0
267	29	5	0	0
268	30	5	0	0
269	32	5	0	0
270	27	5	0	0
271	28	5	0	0
272	30	5	0	0
273	32	5	0	0
274	32	5	0	0
275	32	5	0	0
276	27	5	0	0
277	26	5	0	0
278	30	5	0	0
279	31	5	0	0
280	32	5	0	0
281	32	5	0	0
282	32	5	0	0
283	30	5	0	0
284	26	5	0	0
285	26	5	0	0
286	17	10	0	0
287	26	10	0	0
288	32	10	0	0
289	29	10	0	0
290	4	10	0	0
291	9	10	0	0
292	30	10	0	0
293	3	10	0	0
294	4	10	0	0
295	23	10	0	0
296	17	10	0	0
297	11	10	0	0
298	9	10	0	0
299	4	10	0	0
300	29	10	0	0
301	4	10	0	0
302	5	10	0	0
303	4	10	0	0
304	13	10	0	0
305	8	10	0	0
306	29	10	0	0
307	5	10	0	0
308	4	10	0	0
309	10	10	0	0
310	24	10	0	0
311	26	10	0	0
312	10	10	0	0
313	5	10	0	0
314	18	10	0	0
315	11	10	0	0
316	32	10	0	0
317	11	10	0	0
318	4	10	0	0
319	11	10	0	0
320	24	10	0	0
321	9	10	0	0
322	4	10	0	0
323	4	10	0	0
324	5	10	0	0
325	3	10	0	0
326	12	10	0	0
327	4	10	0	0
328	14	10	0	50
329	8	10	0	50
330	17	10	30	50
331	16	10	30	50
332	29	10	30	50
# There must be NO newline at the end of this file
